Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
bb30994a-ad91-d617-2466-e9ef4c3838dd,2010-10-24,,999-25-7461,,,,Nathan164,Schuster709,,,,native,nonhispanic,M,San Jose  California  US,845 Lesch Club Suite 3,Walnut,California,Los Angeles County,6037,91724,34.11020398294144,-117.80351468112862,25831.61,3234.86,125285
22f309fb-7b30-144b-cedb-ce932fe286e4,2009-03-16,,999-37-4271,,,,Asia282,Lesch175,,,,white,hispanic,F,San Francisco  California  US,436 Gulgowski Run,Soledad,California,Monterey County,6053,93960,36.34269847594687,-121.43499789369584,36690.25,0.00,47629
343787c0-ee04-90d8-61a5-4ed996438c63,1981-07-08,,999-84-8564,S99994136,X23175682X,Mr.,Abram53,Cole117,,,M,white,hispanic,M,Pleasant Hill  California  US,1080 Terry Underpass,Hanford,California,Kings County,6031,93230,36.260622925938065,-119.6152109920694,6289.69,54030.33,10371
162a2c8c-f58e-95e5-d952-13b08627fd1a,1978-03-07,,999-54-8345,S99917811,X33252218X,Mrs.,Eufemia350,Jakubowski832,,Feest103,M,asian,hispanic,F,Long Beach  California  US,311 Reilly Knoll,San Francisco,California,San Francisco County,6075,94111,37.78011597475238,-122.45048111248478,16832.02,2339850.05,19571
a1c82b81-cc4e-1eef-1046-a4081a4b12b4,1991-02-12,,999-71-9025,S99938018,X79840478X,Mr.,Javier97,Terán294,,,M,white,hispanic,M,Lima  Lima Province  PE,315 Bauch Way Apt 53,Arcadia,California,Los Angeles County,6037,91732,34.1385769614556,-118.06593441825682,66081.73,20372.03,135002
16c73553-9400-1f2c-bcf9-7b5ef75150d2,1959-03-07,,999-57-3602,S99976406,X44013539X,Mrs.,Millie392,Mraz590,,Sawayn19,M,white,hispanic,F,Los Angeles  California  US,817 Windler Approach,Davis,California,Yolo County,6113,95616,38.66345156947523,-121.70001651827943,286834.48,130435.94,45504
17293ace-45d7-e2c0-9650-f6e226e36034,1987-02-20,,999-96-9837,S99975575,X23709768X,Mrs.,Melaine933,Hilll811,,Graham902,M,white,nonhispanic,F,Half Moon Bay  California  US,788 Durgan Walk Unit 83,Bakersfield,California,Kern County,6029,93314,35.42307474478775,-118.92314015263003,9598.62,1036262.51,12583
f06a8952-a6ca-ec40-632e-1568c02000d4,2007-07-22,,999-58-7892,S99964000,,,Elbert916,Yundt842,,,,white,hispanic,M,Pleasant Hill  California  US,878 Johns Wall,Escondido,California,San Diego County,6073,92078,33.14956616217322,-117.21497261528329,34521.29,83197.27,138180
4113af81-f9dd-8732-ae1c-bc762a202bfc,1965-05-17,,999-59-9810,S99959855,X31620091X,Mrs.,Ángela136,Sandoval902,,Jaime666,D,white,hispanic,F,Juarez  Chihuahua  MX,579 Hyatt Path Apt 50,Mammoth Lakes,California,Mono County,6051,93546,37.58386118510955,-118.87649759557856,1043938.72,180209.05,45944
4f4e862b-73b5-114f-0140-a19746e7bee3,2009-04-12,,999-57-7067,,,,Sonny285,Hegmann834,,,,asian,nonhispanic,M,Hong Kong  Hong Kong Special Administrative Region  CN,241 Turner Green,Thousand Oaks,California,Ventura County,6111,91361,34.18360400551273,-118.98129562006798,2300.00,20752.44,2820
e75548e9-7ac6-e3da-a97c-38a6867b1987,1981-02-02,,999-16-8162,S99997389,X88963230X,Mr.,Roland928,Monahan736,,,S,asian,hispanic,M,Oakland  California  US,937 Reichel Dale Apt 29,Glendale,California,Los Angeles County,6037,91020,34.112567797525614,-118.24707237037246,66002.68,0.00,150319
7109143a-5906-d2f3-2cf3-52e55cdffa8b,2021-10-17,,999-26-3891,,,,Adriana394,Delao225,,,,white,hispanic,F,San Salvador  El Salvador  SV,500 Hermiston Trailer,Salinas,California,Monterey County,6053,93905,36.71768834103367,-121.58292108854445,6320.76,123.59,48412
a04ae111-195b-a029-4b8e-6b96c3536259,1995-02-12,,999-15-7062,S99937876,X82350106X,Mr.,Francisco472,Carbajal274,,,M,white,hispanic,M,San Salvador  El Salvador  SV,684 Moore View Unit 56,Los Angeles,California,Los Angeles County,6037,91344,34.11843581604811,-118.42688685783502,12143.25,39479.22,28172
aaf7bfb0-c18e-bccb-0ead-0bbdff4d28da,1986-11-23,,999-79-2468,S99998534,X89558335X,Mrs.,Roy364,Schowalter414,,Maggio310,M,white,nonhispanic,F,Ramona  California  US,1032 Lesch Vale,Santa Rosa,California,Sonoma County,6097,95472,38.41634732982675,-122.8161685840448,59061.87,866079.34,31950
